1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice,YearBuilt_Group
856.0,854.0,3.0,No,706.0,GLQ,150.0,204.5179145289512,RFn,2003.0,7.621711330764393,Gd,8450.0,65.0,196.0,61.0,7,207.34479944227937,2003,2003,208500.0,Recent
1262.0,0.0,3.0,Gd,978.0,ALQ,284.0,177.32963582817308,RFn,1976.0,7.303621956335783,TA,9600.0,80.0,0.0,0.0,6,277.4558261572087,1976,1976,181500.0,Modern
920.0,866.0,3.0,Mn,486.0,GLQ,434.0,222.5797332201641,RFn,2001.0,7.667292310455854,Gd,11250.0,68.0,162.0,42.0,7,218.87624406840806,2001,2002,223500.0,Recent
961.0,0.0,3.0,No,216.0,ALQ,540.0,232.66436238253502,Unf,1998.0,7.625992906744751,Gd,9550.0,60.0,0.0,35.0,7,188.8795211797475,1915,1970,140000.0,Old
1145.0,0.0,4.0,Av,655.0,GLQ,490.0,288.45199169728835,RFn,2000.0,7.885038257752123,Gd,14260.0,84.0,350.0,84.0,8,257.92782267145077,2000,2000,250000.0,Modern
796.0,566.0,1.0,No,732.0,GLQ,64.0,183.58894020794867,Unf,1993.0,7.383409048810586,TA,14115.0,85.0,0.0,30.0,5,196.3352494671606,1993,1995,143000.0,Modern
1694.0,0.0,3.0,Av,1369.0,GLQ,317.0,230.89218309811795,RFn,2004.0,7.611859106658229,Gd,10084.0,75.0,186.0,57.0,8,344.76455848036744,2004,2005,307000.0,Recent
1107.0,983.0,3.0,Mn,859.0,ALQ,216.0,184.8348505375304,Unf,1973.0,7.832158091782069,TA,10382.0,69.0,240.0,204.0,7,251.47884368877445,1973,1973,200000.0,Modern
1022.0,752.0,2.0,No,0.0,Unf,952.0,179.83938806030002,Unf,1931.0,7.660224966062878,TA,6120.0,51.0,0.0,0.0,7,224.56573759992,1931,1950,129900.0,Old
1077.0,0.0,2.0,No,851.0,GLQ,140.0,91.66063659158512,RFn,1939.0,7.137886942983956,TA,7420.0,50.0,0.0,4.0,5,231.4351455631708,1939,1950,118000.0,Old
1040.0,0.0,3.0,No,906.0,Rec,134.0,153.04987883637892,Unf,1965.0,7.101359029425204,TA,11200.0,70.0,0.0,0.0,5,239.97026943545094,1965,1965,129500.0,Modern
1182.0,1142.0,4.0,No,998.0,Unf,177.0,260.0418338312891,Fin,2005.0,7.943561676182033,Ex,11924.0,85.0,286.0,21.0,9,262.98107714261374,2005,2006,345000.0,Recent
912.0,0.0,2.0,No,737.0,ALQ,175.0,142.56230808809255,Unf,1962.0,6.964199523759827,TA,12968.0,69.0,0.0,0.0,5,217.44613361938866,1962,1962,144000.0,Modern
1494.0,0.0,3.0,Av,0.0,Unf,1494.0,289.5745876588743,RFn,2006.0,7.4802462855881355,Gd,10652.0,91.0,306.0,33.0,7,314.88853015629286,2006,2007,279500.0,Recent
1253.0,0.0,3.0,No,733.0,BLQ,520.0,142.56230808809255,RFn,1960.0,7.296135466180571,TA,10920.0,69.0,212.0,213.0,6,275.97037594472374,1960,1960,157000.0,Modern
854.0,0.0,2.0,No,0.0,Unf,832.0,212.99080686304876,Unf,1991.0,6.895619781040624,TA,6120.0,51.0,0.0,112.0,7,202.9650727378537,1929,2001,132000.0,Old
